,requestLatency,predictionLatency,fullLatency
0,0.09535765647888184,0.09517717361450195,0.37147045135498047
1,0.08921194076538086,0.08904623985290527,0.35997748374938965
2,0.0928184986114502,0.09264302253723145,0.37400031089782715
3,0.0896613597869873,0.08949947357177734,0.36080098152160645
4,0.09076070785522461,0.0905909538269043,0.41141390800476074
5,0.08552408218383789,0.08533668518066406,0.3474853038787842
6,0.08608627319335938,0.08592534065246582,0.34035658836364746
7,0.10332584381103516,0.10311174392700195,0.3683016300201416
8,0.08388400077819824,0.08371472358703613,0.3523859977722168
9,0.09141874313354492,0.09125685691833496,0.35082530975341797
10,0.10045456886291504,0.10028576850891113,0.37529540061950684
11,0.09097933769226074,0.09079098701477051,0.3574810028076172
12,0.08757233619689941,0.08738589286804199,0.36409783363342285
13,0.11127209663391113,0.11110424995422363,0.33900880813598633
14,0.09146308898925781,0.09127998352050781,0.3387010097503662
15,0.09276461601257324,0.09253883361816406,0.31737756729125977
16,0.09266448020935059,0.09249544143676758,0.3246805667877197
17,0.09601187705993652,0.09585022926330566,0.36272573471069336
18,0.08621716499328613,0.08605146408081055,0.35898804664611816
19,0.0987098217010498,0.09851694107055664,0.36925411224365234
20,0.0934903621673584,0.09332036972045898,0.372234582901001
21,0.09075164794921875,0.090576171875,0.3719949722290039
22,0.0940554141998291,0.09388232231140137,0.38193464279174805
23,0.09036564826965332,0.09019660949707031,0.364886999130249
24,0.09146785736083984,0.09130001068115234,0.40030717849731445
