,requestLatency,predictionLatency,fullLatency
0,1.560518741607666,1.5603456497192383,1.8451263904571533
1,1.562546730041504,1.5623846054077148,1.8350028991699219
2,1.5244929790496826,1.524306297302246,1.8190438747406006
3,1.7400600910186768,1.739891529083252,1.9888975620269775
4,1.6203908920288086,1.620223045349121,1.925574779510498
5,1.5137360095977783,1.5135633945465088,1.7863283157348633
6,1.5752687454223633,1.5750632286071777,1.8636443614959717
7,1.5950918197631836,1.5949211120605469,1.8394615650177002
8,1.5600454807281494,1.559880018234253,1.860030174255371
9,1.6278162002563477,1.6276426315307617,1.9006078243255615
10,1.5788116455078125,1.5786442756652832,1.8580915927886963
11,1.5140149593353271,1.5137999057769775,1.8558082580566406
12,1.6373894214630127,1.6372196674346924,1.910109281539917
13,1.5707154273986816,1.5705418586730957,1.8152482509613037
14,1.5639679431915283,1.563767671585083,1.897639274597168
15,1.6968085765838623,1.6966438293457031,1.9881880283355713
16,1.5872626304626465,1.5870990753173828,1.8922767639160156
17,1.5868875980377197,1.5867278575897217,1.8895866870880127
18,1.529754400253296,1.5295884609222412,1.8105556964874268
19,1.6843814849853516,1.6842074394226074,1.9386067390441895
20,1.5905463695526123,1.5903854370117188,1.8922491073608398
21,1.5188744068145752,1.518697738647461,1.868687391281128
22,1.6095905303955078,1.6094129085540771,1.9343228340148926
23,1.599916934967041,1.5997397899627686,1.890099287033081
24,1.698028564453125,1.6978583335876465,1.9908578395843506
