,requestLatency,predictionLatency,fullLatency
0,0.3988368511199951,0.3986694812774658,0.5997183322906494
1,0.4049215316772461,0.4047577381134033,0.6077978610992432
2,0.3885467052459717,0.3883805274963379,0.5911393165588379
3,0.39023518562316895,0.390061616897583,0.5930819511413574
4,0.38242220878601074,0.38225793838500977,0.5851500034332275
5,0.3912317752838135,0.39084291458129883,0.593742847442627
6,0.39638543128967285,0.3962209224700928,0.6004073619842529
7,0.39659810066223145,0.39643073081970215,0.6062705516815186
8,0.3850691318511963,0.3849036693572998,0.585669994354248
9,0.4022371768951416,0.40206146240234375,0.6098692417144775
10,0.38312482833862305,0.38295578956604004,0.595604419708252
11,0.3909945487976074,0.39082837104797363,0.5929403305053711
12,0.3903157711029053,0.39014720916748047,0.5932884216308594
13,0.38915157318115234,0.38898253440856934,0.5924909114837646
14,0.38243699073791504,0.38227105140686035,0.5808172225952148
15,0.39453697204589844,0.3943746089935303,0.5945477485656738
16,0.38993072509765625,0.38976287841796875,0.5895445346832275
17,0.40273380279541016,0.4025599956512451,0.6048581600189209
18,0.4064159393310547,0.40625476837158203,0.6097800731658936
19,0.4010779857635498,0.40090298652648926,0.6083838939666748
20,0.39520859718322754,0.39504551887512207,0.5878996849060059
21,0.3884236812591553,0.38825440406799316,0.590801477432251
22,0.38486433029174805,0.38469767570495605,0.5821835994720459
23,0.3901503086090088,0.3899848461151123,0.5948596000671387
24,0.3826115131378174,0.3824434280395508,0.5906610488891602
