,requestLatency,predictionLatency,fullLatency
0,0.3491487503051758,0.3489718437194824,0.5488636493682861
1,0.34478211402893066,0.34459805488586426,0.5487782955169678
2,0.35609960556030273,0.3559253215789795,0.5568690299987793
3,0.34462904930114746,0.34445643424987793,0.5500679016113281
4,0.35149621963500977,0.35132265090942383,0.554966926574707
5,0.3471338748931885,0.346954345703125,0.5480027198791504
6,0.34842514991760254,0.34823083877563477,0.5487468242645264
7,0.34549689292907715,0.3453235626220703,0.5486893653869629
8,0.3552560806274414,0.3550539016723633,0.5482542514801025
9,0.345947265625,0.34577178955078125,0.5482053756713867
10,0.351212739944458,0.35103726387023926,0.5492947101593018
11,0.3526499271392822,0.35247325897216797,0.5482022762298584
12,0.3501596450805664,0.34998655319213867,0.5477650165557861
13,0.3641800880432129,0.3639352321624756,0.564218282699585
14,0.353532075881958,0.3533594608306885,0.5704710483551025
15,0.34409403800964355,0.3439168930053711,0.549144983291626
16,0.3530588150024414,0.3528101444244385,0.548912525177002
17,0.3484952449798584,0.34832191467285156,0.5531392097473145
18,0.3520200252532959,0.35184574127197266,0.5479645729064941
19,0.36327171325683594,0.363018274307251,0.5658700466156006
20,0.34949159622192383,0.3493177890777588,0.5482735633850098
21,0.3548295497894287,0.35464954376220703,0.5492408275604248
22,0.34364938735961914,0.343477725982666,0.5337631702423096
23,0.3522624969482422,0.35208988189697266,0.5550742149353027
24,0.34842896461486816,0.3482537269592285,0.5331733226776123
