,requestLatency,predictionLatency,fullLatency
0,0.06078648567199707,0.06064200401306152,0.25396108627319336
1,0.06067204475402832,0.060518741607666016,0.25118494033813477
2,0.060622453689575195,0.060480356216430664,0.2622520923614502
3,0.06032276153564453,0.060179948806762695,0.26746654510498047
4,0.062252044677734375,0.06210899353027344,0.2622644901275635
5,0.06220078468322754,0.0620574951171875,0.2659125328063965
6,0.061532020568847656,0.061388492584228516,0.27261924743652344
7,0.0604252815246582,0.06026721000671387,0.2509951591491699
8,0.0653679370880127,0.06516718864440918,0.26966285705566406
9,0.06264328956604004,0.06249570846557617,0.26932549476623535
10,0.06424880027770996,0.0641012191772461,0.25079846382141113
11,0.0636591911315918,0.063507080078125,0.2507915496826172
12,0.05984139442443848,0.05963301658630371,0.2587897777557373
13,0.062399864196777344,0.06225442886352539,0.2511932849884033
14,0.0607759952545166,0.060628652572631836,0.26641201972961426
15,0.05950665473937988,0.05936264991760254,0.25072789192199707
17,0.059905052185058594,0.0597531795501709,0.2511768341064453
17,0.059667110443115234,0.05951333045959473,0.26999783515930176
18,0.06211066246032715,0.061937808990478516,0.26977109909057617
19,0.060727596282958984,0.06058096885681152,0.2647066116333008
20,0.06739497184753418,0.06721377372741699,0.26641130447387695
21,0.06326913833618164,0.0631256103515625,0.2674548625946045
22,0.06133317947387695,0.06118440628051758,0.26700758934020996
13,0.05945158004760742,0.059307098388671875,0.2502450942993164
24,0.06047534942626953,0.06032586097717285,0.2531604766845703
