,requestLatency,predictionLatency,fullLatency
0,0.07000946998596191,0.06986880302429199,0.26394033432006836
1,0.07071590423583984,0.07057070732116699,0.25707077980041504
2,0.07836413383483887,0.07822275161743164,0.2647581100463867
3,0.06840825080871582,0.0682682991027832,0.2583003044128418
4,0.07050204277038574,0.07036137580871582,0.26793909072875977
5,0.07095551490783691,0.07080745697021484,0.2621772289276123
6,0.07144284248352051,0.07129287719726562,0.26485490798950195
7,0.07058167457580566,0.07042288780212402,0.26247620582580566
8,0.07066154479980469,0.07051825523376465,0.26357269287109375
9,0.07039284706115723,0.07024621963500977,0.2620229721069336
10,0.07215142250061035,0.07199835777282715,0.2708721160888672
11,0.06999897956848145,0.06985354423522949,0.267167329788208
12,0.06899118423461914,0.06885266304016113,0.2615385055541992
13,0.07435441017150879,0.07421755790710449,0.2692725658416748
14,0.07460403442382812,0.07446670532226562,0.272064208984375
15,0.07190632820129395,0.07176828384399414,0.27815890312194824
16,0.07073593139648438,0.07059502601623535,0.2646934986114502
17,0.07171964645385742,0.07158017158508301,0.25739383697509766
18,0.06968379020690918,0.06954574584960938,0.2543141841888428
19,0.07179760932922363,0.07164597511291504,0.26511526107788086
20,0.07418537139892578,0.07404303550720215,0.267641544342041
21,0.06882333755493164,0.06867599487304688,0.262326717376709
22,0.07208418846130371,0.07193422317504883,0.2629129886627197
23,0.07089543342590332,0.07074880599975586,0.26399922370910645
24,0.0700984001159668,0.06995773315429688,0.27300190925598145
