,requestLatency,predictionLatency,fullLatency
0,0.09780645370483398,0.09763598442077637,0.2832825183868408
1,0.09196162223815918,0.09178662300109863,0.2889566421508789
2,0.0872182846069336,0.08704829216003418,0.29043126106262207
3,0.0885922908782959,0.08842301368713379,0.29187679290771484
4,0.0877833366394043,0.08762598037719727,0.2933821678161621
5,0.08876442909240723,0.08859562873840332,0.2864534854888916
6,0.0877532958984375,0.08758735656738281,0.2928144931793213
7,0.08506321907043457,0.08490514755249023,0.2869601249694824
8,0.08589315414428711,0.08573150634765625,0.274181604385376
9,0.09023165702819824,0.09007453918457031,0.29667139053344727
10,0.08323502540588379,0.08307456970214844,0.2882080078125
11,0.08931779861450195,0.08914828300476074,0.3015904426574707
12,0.08857369422912598,0.08841085433959961,0.28911638259887695
13,0.08453845977783203,0.08437299728393555,0.2900583744049072
14,0.0852043628692627,0.08504581451416016,0.2911076545715332
15,0.08290910720825195,0.0827484130859375,0.2895774841308594
16,0.08465981483459473,0.08449888229370117,0.2864253520965576
17,0.08511805534362793,0.08495879173278809,0.2871859073638916
18,0.08932375907897949,0.08916020393371582,0.30449366569519043
19,0.08436322212219238,0.08418965339660645,0.28507256507873535
20,0.08304119110107422,0.08288407325744629,0.27846765518188477
21,0.09053492546081543,0.09037327766418457,0.29273438453674316
22,0.08674407005310059,0.0865781307220459,0.27878475189208984
23,0.09412932395935059,0.09396123886108398,0.2895939350128174
24,0.0851888656616211,0.08502960205078125,0.27382373809814453
